 &plot nbnd= 100, nks=   174 /
            0.000000  0.000000  0.000000
 -25.688 -24.750 -24.554 -24.430 -23.721 -21.677 -21.249 -21.142 -20.551 -18.342
 -17.864 -16.880 -16.404 -15.466 -14.397 -14.050 -13.204 -13.177 -12.551 -12.369
 -12.005 -11.837 -11.511 -11.355 -11.015 -10.698 -10.627 -10.379 -10.270 -10.057
  -9.850  -9.784  -9.620  -9.328  -9.223  -8.873  -8.661  -8.623  -8.523  -8.387
  -8.385  -8.311  -8.198  -8.166  -7.940  -7.378  -7.200  -7.124  -7.059  -6.345
  -5.517  -5.221  -4.928  -4.764  -4.692  -4.523  -4.463  -4.210  -3.768  -1.504
  -0.738  -0.403  -0.000   0.543   0.708   0.874   1.041   1.068   1.200   1.410
   1.652   1.746   1.860   1.896   1.999   2.036   2.117   2.275   2.321   2.389
   2.429   2.622   2.759   2.882   2.963   3.028   3.247   3.284   3.373   3.435
   3.453   3.489   3.561   3.723   3.786   3.831   3.966   4.061   4.111   4.264
            0.055556  0.000000  0.000000
 -25.688 -24.750 -24.554 -24.430 -23.721 -21.677 -21.249 -21.142 -20.551 -18.342
 -17.864 -16.880 -16.404 -15.466 -14.397 -14.050 -13.204 -13.177 -12.551 -12.369
 -12.005 -11.837 -11.511 -11.355 -11.015 -10.698 -10.627 -10.379 -10.270 -10.057
  -9.850  -9.784  -9.620  -9.328  -9.223  -8.873  -8.661  -8.623  -8.523  -8.387
  -8.385  -8.311  -8.198  -8.166  -7.940  -7.378  -7.200  -7.124  -7.059  -6.345
  -5.517  -5.221  -4.928  -4.764  -4.692  -4.523  -4.463  -4.210  -3.768  -1.504
  -0.738  -0.403   0.002   0.542   0.704   0.869   1.014   1.105   1.202   1.415
   1.640   1.745   1.842   1.881   2.011   2.060   2.120   2.264   2.315   2.389
   2.466   2.625   2.752   2.879   2.960   3.030   3.233   3.274   3.383   3.431
   3.452   3.487   3.571   3.737   3.789   3.826   3.965   4.066   4.108   4.246
            0.111111  0.000000  0.000000
 -25.688 -24.750 -24.554 -24.430 -23.721 -21.677 -21.249 -21.142 -20.551 -18.342
 -17.864 -16.880 -16.404 -15.466 -14.397 -14.050 -13.204 -13.177 -12.551 -12.369
 -12.005 -11.837 -11.511 -11.355 -11.015 -10.698 -10.627 -10.379 -10.270 -10.057
  -9.850  -9.784  -9.620  -9.328  -9.223  -8.873  -8.661  -8.623  -8.523  -8.387
  -8.385  -8.311  -8.198  -8.166  -7.940  -7.378  -7.200  -7.124  -7.059  -6.345
  -5.517  -5.221  -4.928  -4.764  -4.692  -4.523  -4.463  -4.210  -3.768  -1.504
  -0.738  -0.403   0.007   0.539   0.693   0.859   0.992   1.150   1.210   1.432
   1.608   1.738   1.808   1.856   2.026   2.099   2.138   2.240   2.331   2.390
   2.535   2.632   2.738   2.872   2.952   3.025   3.197   3.261   3.387   3.418
   3.471   3.489   3.585   3.771   3.794   3.822   3.963   4.069   4.100   4.199
            0.166667  0.000000  0.000000
 -25.688 -24.750 -24.554 -24.430 -23.721 -21.677 -21.249 -21.142 -20.551 -18.342
 -17.864 -16.880 -16.404 -15.466 -14.397 -14.050 -13.204 -13.177 -12.551 -12.369
 -12.005 -11.837 -11.511 -11.355 -11.015 -10.698 -10.627 -10.379 -10.270 -10.057
  -9.850  -9.784  -9.620  -9.328  -9.223  -8.873  -8.661  -8.623  -8.523  -8.387
  -8.385  -8.311  -8.198  -8.166  -7.940  -7.378  -7.200  -7.124  -7.059  -6.345
  -5.517  -5.221  -4.928  -4.764  -4.692  -4.523  -4.463  -4.210  -3.768  -1.504
  -0.738  -0.403   0.015   0.531   0.675   0.851   0.981   1.185   1.224   1.459
   1.565   1.721   1.775   1.843   2.015   2.130   2.153   2.255   2.360   2.402
   2.588   2.656   2.725   2.867   2.940   3.000   3.145   3.262   3.363   3.431
   3.478   3.513   3.592   3.779   3.815   3.846   3.958   4.053   4.098   4.147
            0.222222  0.000000  0.000000
 -25.688 -24.750 -24.554 -24.430 -23.721 -21.677 -21.249 -21.142 -20.551 -18.342
 -17.864 -16.880 -16.404 -15.466 -14.397 -14.050 -13.204 -13.177 -12.551 -12.369
 -12.005 -11.837 -11.511 -11.355 -11.015 -10.698 -10.627 -10.379 -10.270 -10.057
