#  E (eV)   dos(E)     Int dos(E)
-25.614  0.3123E-81  0.2000E+01
-25.614  0.3123E-81  0.2000E+01
-25.613  0.3123E-81  0.2000E+01
-25.613  0.3123E-81  0.2000E+01
-25.612  0.3123E-81  0.2000E+01
-25.612  0.3123E-81  0.2000E+01
-25.611  0.3123E-81  0.2000E+01
-25.611  0.3123E-81  0.2000E+01
-25.610  0.3123E-81  0.2000E+01
-25.610  0.3123E-81  0.2000E+01
-25.609  0.3123E-81  0.2000E+01
-25.609  0.3123E-81  0.2000E+01
-25.608  0.3123E-81  0.2000E+01
-25.608  0.3123E-81  0.2000E+01
-25.607  0.3123E-81  0.2000E+01
-25.607  0.3123E-81  0.2000E+01
-25.606  0.3123E-81  0.2000E+01
-25.606  0.3123E-81  0.2000E+01
-25.605  0.3123E-81  0.2000E+01
-25.605  0.3123E-81  0.2000E+01
-25.604  0.3123E-81  0.2000E+01
-25.604  0.3123E-81  0.2000E+01
-25.603  0.3123E-81  0.2000E+01
-25.603  0.3123E-81  0.2000E+01
-25.602  0.3123E-81  0.2000E+01
-25.602  0.3123E-81  0.2000E+01
-25.601  0.3123E-81  0.2000E+01
-25.601  0.3123E-81  0.2000E+01
-25.600  0.3123E-81  0.2000E+01
-25.600  0.3123E-81  0.2000E+01
-25.599  0.3123E-81  0.2000E+01
-25.599  0.3123E-81  0.2000E+01
-25.598  0.3123E-81  0.2000E+01
-25.598  0.3123E-81  0.2000E+01
-25.597  0.3123E-81  0.2000E+01
-25.597  0.3123E-81  0.2000E+01
-25.596  0.3123E-81  0.2000E+01
-25.596  0.3123E-81  0.2000E+01
-25.595  0.3123E-81  0.2000E+01
-25.595  0.3123E-81  0.2000E+01
-25.594  0.3123E-81  0.2000E+01
-25.594  0.3123E-81  0.2000E+01
-25.593  0.3123E-81  0.2000E+01
-25.593  0.3123E-81  0.2000E+01
-25.592  0.3123E-81  0.2000E+01
-25.592  0.3123E-81  0.2000E+01
-25.591  0.3123E-81  0.2000E+01
-25.591  0.3123E-81  0.2000E+01
-25.590  0.3123E-81  0.2000E+01
-25.590  0.3123E-81  0.2000E+01
-25.589  0.3123E-81  0.2000E+01
-25.589  0.3123E-81  0.2000E+01
-25.588  0.3123E-81  0.2000E+01
-25.588  0.3123E-81  0.2000E+01
-25.587  0.3123E-81  0.2000E+01
-25.587  0.3123E-81  0.2000E+01
-25.586  0.3123E-81  0.2000E+01
-25.586  0.3123E-81  0.2000E+01
-25.585  0.3123E-81  0.2000E+01
-25.585  0.3123E-81  0.2000E+01
-25.584  0.3123E-81  0.2000E+01
-25.584  0.3123E-81  0.2000E+01
-25.583  0.3123E-81  0.2000E+01
-25.583  0.3123E-81  0.2000E+01
-25.582  0.3123E-81  0.2000E+01
-25.582  0.3123E-81  0.2000E+01
-25.581  0.3123E-81  0.2000E+01
-25.581  0.3123E-81  0.2000E+01
-25.580  0.3123E-81  0.2000E+01
-25.580  0.3123E-81  0.2000E+01
-25.579  0.3123E-81  0.2000E+01
-25.579  0.3123E-81  0.2000E+01
-25.578  0.3123E-81  0.2000E+01
-25.578  0.3123E-81  0.2000E+01
-25.577  0.3123E-81  0.2000E+01
-25.577  0.3123E-81  0.2000E+01
-25.576  0.3123E-81  0.2000E+01
-25.576  0.3123E-81  0.2000E+01
-25.575  0.3123E-81  0.2000E+01
-25.575  0.3123E-81  0.2000E+01
-25.574  0.3123E-81  0.2000E+01
-25.574  0.3123E-81  0.2000E+01
-25.573  0.3123E-81  0.2000E+01
-25.573  0.3123E-81  0.2000E+01
-25.572  0.3123E-81  0.2000E+01
-25.572  0.3123E-81  0.2000E+01
-25.571  0.3123E-81  0.2000E+01
-25.571  0.3123E-81  0.2000E+01
-25.570  0.3123E-81  0.2000E+01
-25.570  0.3123E-81  0.2000E+01
-25.569  0.3123E-81  0.2000E+01
-25.569  0.3123E-81  0.2000E+01
-25.568  0.3123E-81  0.2000E+01
-25.568  0.3123E-81  0.2000E+01
-25.567  0.3123E-81  0.2000E+01
-25.567  0.3123E-81  0.2000E+01
-25.566  0.3123E-81  0.2000E+01
-25.566  0.3123E-81  0.2000E+01
-25.565  0.3123E-81  0.2000E+01
-25.565  0.3123E-81  0.2000E+01
-25.564  0.3123E-81  0.2000E+01
-25.564  0.3123E-81  0.2000E+01
-25.563  0.3123E-81  0.2000E+01
-25.563  0.3123E-81  0.2000E+01
-25.562  0.3123E-81  0.2000E+01
-25.562  0.3123E-81  0.2000E+01
-25.561  0.3123E-81  0.2000E+01
-25.561  0.3123E-81  0.2000E+01
-25.560  0.3123E-81  0.2000E+01
-25.560  0.3123E-81  0.2000E+01
-25.559  0.3123E-81  0.2000E+01
-25.559  0.3123E-81  0.2000E+01
-25.558  0.3123E-81  0.2000E+01
-25.558  0.3123E-81  0.2000E+01
-25.557  0.3123E-81  0.2000E+01
-25.557  0.3123E-81  0.2000E+01
-25.556  0.3123E-81  0.2000E+01
-25.556  0.3123E-81  0.2000E+01
-25.555  0.3123E-81  0.2000E+01
-25.555  0.3123E-81  0.2000E+01
-25.554  0.3123E-81  0.2000E+01
-25.554  0.3123E-81  0.2000E+01
-25.553  0.3123E-81  0.2000E+01
-25.553  0.3123E-81  0.2000E+01
-25.552  0.3123E-81  0.2000E+01
-25.552  0.3123E-81  0.2000E+01
-25.551  0.3123E-81  0.2000E+01
-25.551  0.3123E-81  0.2000E+01
-25.550  0.3123E-81  0.2000E+01
-25.550  0.3123E-81  0.2000E+01
-25.549  0.3123E-81  0.2000E+01
-25.549  0.3123E-81  0.2000E+01
-25.548  0.3123E-81  0.2000E+01
-25.548  0.3123E-81  0.2000E+01
-25.547  0.3123E-81  0.2000E+01
-25.547  0.3123E-81  0.2000E+01
-25.546  0.3123E-81  0.2000E+01
-25.546  0.3123E-81  0.2000E+01
-25.545  0.3123E-81  0.2000E+01
-25.545  0.3123E-81  0.2000E+01
-25.544  0.3123E-81  0.2000E+01
-25.544  0.3123E-81  0.2000E+01
-25.543  0.3123E-81  0.2000E+01
-25.543  0.3123E-81  0.2000E+01
-25.542  0.3123E-81  0.2000E+01
-25.542  0.3123E-81  0.2000E+01
-25.541  0.3123E-81  0.2000E+01
-25.541  0.3123E-81  0.2000E+01
-25.540  0.3123E-81  0.2000E+01
-25.540  0.3123E-81  0.2000E+01
-25.539  0.3123E-81  0.2000E+01
-25.539  0.3123E-81  0.2000E+01
-25.538  0.3123E-81  0.2000E+01
-25.538  0.3123E-81  0.2000E+01
-25.537  0.3123E-81  0.2000E+01
-25.537  0.3123E-81  0.2000E+01
-25.536  0.3123E-81  0.2000E+01
-25.536  0.3123E-81  0.2000E+01
-25.535  0.3123E-81  0.2000E+01
-25.535  0.3123E-81  0.2000E+01
-25.534  0.3123E-81  0.2000E+01
-25.534  0.3123E-81  0.2000E+01
-25.533  0.3123E-81  0.2000E+01
-25.533  0.3123E-81  0.2000E+01
-25.532  0.3123E-81  0.2000E+01
-25.532  0.3123E-81  0.2000E+01
-25.531  0.3123E-81  0.2000E+01
-25.531  0.3123E-81  0.2000E+01
-25.530  0.3123E-81  0.2000E+01
-25.530  0.3123E-81  0.2000E+01
-25.529  0.3123E-81  0.2000E+01
-25.529  0.3123E-81  0.2000E+01
-25.528  0.3123E-81  0.2000E+01
-25.528  0.3123E-81  0.2000E+01
-25.527  0.3123E-81  0.2000E+01
-25.527  0.3123E-81  0.2000E+01
-25.526  0.3123E-81  0.2000E+01
